compound,target,pdb_id,grid_id,best_affinity_kcal_mol
Alpha,T1,DEMO1,G01,-7.0
Alpha,T1,DEMO1,G02,-6.98
Alpha,T1,DEMO1,G03,-6.96
Alpha,T1,DEMO1,G04,-6.94
Alpha,T1,DEMO1,G05,-6.92
Alpha,T1,DEMO1,G06,-6.9
Alpha,T1,DEMO1,G07,-6.88
Alpha,T1,DEMO1,G08,-6.86
Alpha,T1,DEMO1,G09,-6.84
Alpha,T1,DEMO1,G10,-6.82
Alpha,T1,DEMO1,G11,-6.8
Alpha,T1,DEMO1,G12,-6.78
Alpha,T1,DEMO1,G13,-6.76
Alpha,T1,DEMO1,G14,-6.74
Alpha,T1,DEMO1,G15,-6.72
Alpha,T1,DEMO1,G16,-6.7
Alpha,T1,DEMO1,G17,-6.68
Alpha,T1,DEMO1,G18,-6.66
Alpha,T1,DEMO1,G19,-6.64
Alpha,T1,DEMO1,G20,-6.62
Alpha,T2,DEMO2,G01,-8.0
Alpha,T2,DEMO2,G02,-7.985
Alpha,T2,DEMO2,G03,-7.97
Alpha,T2,DEMO2,G04,-7.955
Alpha,T2,DEMO2,G05,-7.94
Alpha,T2,DEMO2,G06,-7.925
Alpha,T2,DEMO2,G07,-7.91
Alpha,T2,DEMO2,G08,-7.895
Alpha,T2,DEMO2,G09,-7.88
Alpha,T2,DEMO2,G10,-7.865
Alpha,T2,DEMO2,G11,-7.85
Alpha,T2,DEMO2,G12,-7.835
Alpha,T2,DEMO2,G13,-7.82
Alpha,T2,DEMO2,G14,-7.805
Alpha,T2,DEMO2,G15,-7.79
Alpha,T2,DEMO2,G16,-7.775
Alpha,T2,DEMO2,G17,-7.76
Alpha,T2,DEMO2,G18,-7.745
Alpha,T2,DEMO2,G19,-7.73
Alpha,T2,DEMO2,G20,-7.715
Beta,T1,DEMO1,G01,-8.5
Beta,T1,DEMO1,G02,-8.49
Beta,T1,DEMO1,G03,-8.48
Beta,T1,DEMO1,G04,-8.47
Beta,T1,DEMO1,G05,-8.46
Beta,T1,DEMO1,G06,-8.45
Beta,T1,DEMO1,G07,-8.44
Beta,T1,DEMO1,G08,-8.43
Beta,T1,DEMO1,G09,-8.42
Beta,T1,DEMO1,G10,-8.41
Beta,T1,DEMO1,G11,-8.4
Beta,T1,DEMO1,G12,-8.39
Beta,T1,DEMO1,G13,-8.38
Beta,T1,DEMO1,G14,-8.37
Beta,T1,DEMO1,G15,-8.36
Beta,T1,DEMO1,G16,-8.35
Beta,T1,DEMO1,G17,-8.34
Beta,T1,DEMO1,G18,-8.33
Beta,T1,DEMO1,G19,-8.32
Beta,T1,DEMO1,G20,-8.31
Beta,T2,DEMO2,G01,-7.0
Beta,T2,DEMO2,G02,-6.99
Beta,T2,DEMO2,G03,-6.98
Beta,T2,DEMO2,G04,-6.97
Beta,T2,DEMO2,G05,-6.96
Beta,T2,DEMO2,G06,-6.95
Beta,T2,DEMO2,G07,-6.94
Beta,T2,DEMO2,G08,-6.93
Beta,T2,DEMO2,G09,-6.92
Beta,T2,DEMO2,G10,-6.91
Beta,T2,DEMO2,G11,-6.9
Beta,T2,DEMO2,G12,-6.89
Beta,T2,DEMO2,G13,-6.88
Beta,T2,DEMO2,G14,-6.87
Beta,T2,DEMO2,G15,-6.86
Beta,T2,DEMO2,G16,-6.85
Beta,T2,DEMO2,G17,-6.84
Beta,T2,DEMO2,G18,-6.83
Beta,T2,DEMO2,G19,-6.82
Beta,T2,DEMO2,G20,-6.81
