compound_name,target,pdb_id,grid_id,best_affinity_kcal_mol
Annocatalin,EGFR,1IVO,1,0.005135
Annocatalin,EGFR,1IVO,2,0.03491
Annocatalin,EGFR,1IVO,3,0.01659
Annocatalin,EGFR,1IVO,4,0.004717
Annocatalin,EGFR,1IVO,5,0.02829
Annocatalin,EGFR,1IVO,6,0.1143
Annocatalin,EGFR,1IVO,7,-1.014
Annocatalin,EGFR,1IVO,8,0.02953
Annocatalin,EGFR,1IVO,9,-3.527
Annocatalin,EGFR,1IVO,10,0.09086
Annocatalin,EGFR,1IVO,11,-2.354
Annocatalin,EGFR,1IVO,12,-3.262
Annocatalin,EGFR,1IVO,13,-0.7211
Annocatalin,EGFR,1IVO,14,-5.437
Annocatalin,EGFR,1IVO,15,-5.937
Annocatalin,EGFR,1IVO,16,-3.333
Annocatalin,EGFR,1IVO,17,-4.049
Annocatalin,EGFR,1IVO,18,-5.938
Annocatalin,EGFR,1IVO,19,-3.366
Annocatalin,EGFR,1IVO,20,-4.704
Annocatalin,Caspase-3,1QX3,1,-0.5508
Annocatalin,Caspase-3,1QX3,2,-0.6864
Annocatalin,Caspase-3,1QX3,3,-3.4
Annocatalin,Caspase-3,1QX3,4,-4.777
Annocatalin,Caspase-3,1QX3,5,-0.749
Annocatalin,Caspase-3,1QX3,6,-2.857
Annocatalin,Caspase-3,1QX3,7,-3.622
Annocatalin,Caspase-3,1QX3,8,-3.868
Annocatalin,Caspase-3,1QX3,9,0.001561
Annocatalin,Caspase-3,1QX3,10,0.01764
Annocatalin,Caspase-3,1QX3,11,-2.961
Annocatalin,Caspase-3,1QX3,12,-4.719
Annocatalin,Caspase-3,1QX3,13,-4.2
Annocatalin,Caspase-3,1QX3,14,0.02707
Annocatalin,Caspase-3,1QX3,15,0.05473
Annocatalin,Caspase-3,1QX3,16,-4.238
Annocatalin,Caspase-3,1QX3,17,-4.237
Annocatalin,Caspase-3,1QX3,18,0.004259
Annocatalin,Caspase-3,1QX3,19,-2.045
Annocatalin,Caspase-3,1QX3,20,-3.709
Annocatalin,AR,2AMA,1,-1.421
Annocatalin,AR,2AMA,2,-2.903
Annocatalin,AR,2AMA,3,-3.388
Annocatalin,AR,2AMA,4,-4.179
Annocatalin,AR,2AMA,5,-4.077
Annocatalin,AR,2AMA,6,-4.864
Annocatalin,AR,2AMA,7,-4.465
Annocatalin,AR,2AMA,8,-5.332
Annocatalin,AR,2AMA,9,-4.69
Annocatalin,AR,2AMA,10,-4.927
Annocatalin,AR,2AMA,11,-6.621
Annocatalin,AR,2AMA,12,-5.128
Annocatalin,AR,2AMA,13,-5.091
Annocatalin,AR,2AMA,14,-5.854
Annocatalin,AR,2AMA,15,-6.305
Annocatalin,AR,2AMA,16,-4.786
Annocatalin,AR,2AMA,17,-4.883
Annocatalin,AR,2AMA,18,-6.112
Annocatalin,AR,2AMA,19,-6.654
Annocatalin,AR,2AMA,20,-5.051
Annocatalin,AKT1,3MVH,1,-5.364
Annocatalin,AKT1,3MVH,2,-5.106
Annocatalin,AKT1,3MVH,3,-6.038
Annocatalin,AKT1,3MVH,4,-6.451
Annocatalin,AKT1,3MVH,5,-4.673
Annocatalin,AKT1,3MVH,6,-6.005
Annocatalin,AKT1,3MVH,7,-5.493
Annocatalin,AKT1,3MVH,8,-4.461
Annocatalin,AKT1,3MVH,9,-4.033
Annocatalin,AKT1,3MVH,10,-5.636
Annocatalin,AKT1,3MVH,11,-4.455
Annocatalin,AKT1,3MVH,12,-5.19
Annocatalin,AKT1,3MVH,13,-5.595
Annocatalin,AKT1,3MVH,14,-4.932
Annocatalin,AKT1,3MVH,15,-6.147
Annocatalin,AKT1,3MVH,16,-5.51
