Compound,pdb_id,target,n_grid_centers,best_dg,median_dg,mean_dg,reference_dg_for_binding_calibration,binding_reference_calibrated,binding_calibration_status
Annocatalin,1IVO,EGFR,20,-5.938,-1.6840000000000002,-2.1658884,,,comparative_target_relative_only
Annocatalin,1QX3,Caspase-3,20,-4.777,-2.909,-2.325697,,,comparative_target_relative_only
Annocatalin,2AMA,AR,20,-6.654,-4.904999999999999,-4.83655,-11.09,0.4422903516681695,reference_calibrated
Annocatalin,3MVH,AKT1,20,-6.451,-5.4275,-5.26035,-11.37,0.4773526824978013,reference_calibrated
Annocatalin,3V3N,5AR2,20,-6.988,-6.6434999999999995,-6.595650000000001,-8.963,0.7412138792814906,reference_calibrated
Annocatalin,4JSP,mTOR,20,-6.87,-5.888,-5.78265,-6.578,0.8951048951048951,reference_calibrated
Annocatalin,4LVT,Bcl-2,20,-7.132,-6.5155,-6.2136499999999995,-11.06,0.5891048824593128,reference_calibrated
Annocatalin,5LNK,Complex I,20,-7.452,-6.8475,-6.9154,,,comparative_target_relative_only
Annocatalin,6OAC,PI3Kα,20,-7.407,-6.186,-6.19225,-8.804,0.7026351658337119,reference_calibrated
Annomontacin,1IVO,EGFR,20,-5.669,-1.3345,-2.078459005,,,comparative_target_relative_only
Annomontacin,1QX3,Caspase-3,20,-4.401,-2.925,-2.224605,,,comparative_target_relative_only
Annomontacin,2AMA,AR,20,-7.293,-4.9915,-4.9177,-11.09,0.45009017132551854,reference_calibrated
Annomontacin,3MVH,AKT1,20,-6.304,-5.029,-5.05405,-11.37,0.4423043095866315,reference_calibrated
Annomontacin,3V3N,5AR2,20,-7.537,-6.927,-6.8411,-8.963,0.7728439138681246,reference_calibrated
Annomontacin,4JSP,mTOR,20,-6.129,-5.526,-5.51935,-6.578,0.8400729705077531,reference_calibrated
Annomontacin,4LVT,Bcl-2,20,-7.216,-6.423500000000001,-6.1811,-11.06,0.5807866184448464,reference_calibrated
Annomontacin,5LNK,Complex I,20,-7.234,-6.747,-6.7769,,,comparative_target_relative_only
Annomontacin,6OAC,PI3Kα,20,-7.015,-6.221,-6.2127,-8.804,0.7066106315311222,reference_calibrated
Annomuricatin A,1IVO,EGFR,20,-7.705,-2.3945,-3.13444621,,,comparative_target_relative_only
Annomuricatin A,1QX3,Caspase-3,20,-7.583,-4.757,-3.518281625,,,comparative_target_relative_only
Annomuricatin A,2AMA,AR,20,-8.593,-7.1995000000000005,-6.861199999999999,-11.09,0.6491884580703337,reference_calibrated
Annomuricatin A,3MVH,AKT1,20,-7.138,-6.6415,-6.6486,-11.37,0.5841248900615655,reference_calibrated
Annomuricatin A,3V3N,5AR2,20,-9.219,-8.533999999999999,-8.58895,-8.963,0.9521365614191677,reference_calibrated
Annomuricatin A,4JSP,mTOR,20,-8.401,-7.8815,-7.821949999999999,-6.578,1.0,reference_calibrated
