Compound,Class,Molweight,logP,Topological Polar Surface Area,LD₅₀ (mg/kg),Tox Class,Hepato,Neuro,Nephro,Respi,Cardio,NADH-QO,CYP Inhib,BBB
Annocatalin,Acetogenin,596.88,7.06,116.45,400,4,Inactive(0.83),Inactive(0.93),Active(0.52),Active(0.64),Inactive(0.75),Inactive(0.97),Inactive,Active(0.61)
Annomontacin,Acetogenin,624.93,7.84,116.45,400,4,Inactive(0.86),Inactive(0.93),Active(0.50),Active(0.68),Inactive(0.78),Active(1.00),Inactive,Active(0.59)
Annomuricin A,Acetogenin,612.88,6.03,136.68,400,4,Inactive(0.86),Inactive(0.93),Active(0.51),Active(0.65),Inactive(0.76),Active(1.00),Inactive,Active(0.59)
Annomuricin B,Acetogenin,612.88,6.03,136.68,400,4,Inactive(0.86),Inactive(0.93),Active(0.51),Active(0.65),Inactive(0.76),Inactive(0.97),Inactive,Active(0.59)
Annomuricin C,Acetogenin,612.88,6.03,136.68,400,4,Inactive(0.86),Inactive(0.93),Active(0.51),Active(0.65),Inactive(0.76),Active(1.00),Inactive,Active(0.59)
Annomuricin D,Acetogenin,612.88,6.32,133.52,26000,6,Inactive(0.83),Inactive(0.96),Active(0.51),Active(0.62),Inactive(0.70),Active(1.00),Inactive,Active(0.70)
Annomuricin E,Acetogenin,612.88,6.03,136.68,400,4,Inactive(0.86),Inactive(0.93),Active(0.51),Active(0.65),Inactive(0.76),Active(1.00),Inactive,Active(0.59)
Annomuricatin A,Acetogenin,558.63,-0.46,186.04,500,4,Inactive(0.85),Inactive(0.52),Active(0.57),Active(0.84),Inactive(0.63),Inactive(0.88),Inactive,Inactive(0.89)
Annomuricatin B,Acetogenin,739.82,0.19,274.02,500,4,Inactive(0.88),Active(0.62),Inactive(0.53),Active(0.88),Inactive(0.70),Inactive(0.89),Inactive,Inactive(0.89)
Annomutacin,Acetogenin,624.93,7.84,116.45,400,4,Inactive(0.86),Inactive(0.93),Active(0.50),Active(0.68),Inactive(0.78),Active(1.00),Inactive,Active(0.59)
Annonacin,Acetogenin,596.88,7.06,116.45,400,4,Inactive(0.86),Inactive(0.93),Active(0.50),Active(0.68),Inactive(0.78),Active(1.00),Inactive,Active(0.59)
Annonacin A,Acetogenin,596.88,7.06,116.45,400,4,Inactive(0.86),Inactive(0.93),Active(0.50),Active(0.68),Inactive(0.78),Active(1.00),Inactive,Active(0.59)
Annonacinone,Acetogenin,594.86,7.27,113.29,400,4,Inactive(0.88),Inactive(0.94),Inactive(0.50),Active(0.73),Inactive(0.77),Active(1.00),Inactive,Active(0.61)
Isoannonacin,Acetogenin,596.88,7.35,113.29,26000,6,Inactive(0.84),Inactive(0.96),Active(0.51),Active(0.65),Inactive(0.71),Active(1.00),Inactive,Active(0.73)
Isoannonacinone,Acetogenin,594.86,7.56,110.13,26000,6,Inactive(0.84),Inactive(0.96),Active(0.51),Active(0.65),Inactive(0.71),Active(1.00),Inactive,Active(0.73)
Annopentocin A,Acetogenin,612.88,6.03,136.68,46,2,Inactive(0.90),Inactive(0.94),Inactive(0.51),Active(0.67),Inactive(0.75),Active(1.00),Inactive,Active(0.59)
Annopentocin B,Acetogenin,612.88,6.03,136.68,46,2,Inactive(0.90),Inactive(0.94),Inactive(0.51),Active(0.67),Inactive(0.75),Active(1.00),Inactive,Active(0.59)
Annoreticuin-9-one,Acetogenin,594.86,7.27,113.29,400,4,Inactive(0.88),Inactive(0.94),Inactive(0.50),Active(0.73),Inactive(0.77),Active(1.00),Inactive,Active(0.61)
Cis-Corossolone,Acetogenin,578.86,8.3,93.06,5000,4,Inactive(0.88),Inactive(0.94),Inactive(0.50),Active(0.73),Inactive(0.77),Active(1.00),Inactive,Active(0.61)
Corossolone,Acetogenin,578.86,8.3,93.06,5000,4,Inactive(0.88),Inactive(0.94),Inactive(0.50),Active(0.73),Inactive(0.77),Active(1.00),Inactive,Active(0.61)
