Molecule,Canonical SMILES,Formula,MW,#Heavy atoms,#Aromatic heavy atoms,Fraction Csp3,#Rotatable bonds,#H-bond acceptors,#H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,Consensus Log P,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),ESOL Class,Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Ali Class,Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),Silicos-IT class,GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,Synthetic Accessibility
Annocatalin,CCC[C@@H]([C@H](CCCCCCCC[C@H]([C@H]1CC[C@@H](O1)CCCCCCCCCC[C@H](CC1=C[C@@H](OC1=O)C)O)O)O)O,C35H64O7,596.88,42,0,0.91,26,7,4,172.67,116.45,n/d,8.42,7.06,3.46,8.88,6.95,-7.13,4.43E-05,7.43E-08,Poorly soluble,-10.73,1.10E-08,1.84E-11,Insoluble,-7.4,2.39E-05,4.00E-08,Poorly soluble,Low,No,n/d,n/d,n/d,n/d,n/d,n/d,-3.96,1,4,1,1,2,0.55,0,0,3,7.34
Annomontacin,CCCCCCCCCCCC[C@@H]([C@@H]1CC[C@H](O1)[C@H](CCCCCCC(CCCCC[C@H](CC1=C[C@@H](OC1=O)C)O)O)O)O,C37H68O7,624.93,44,0,0.92,28,7,4,182.29,116.45,n/d,9.5,7.84,3.81,9.74,7.72,-7.85,8.80E-06,1.41E-08,Poorly soluble,-11.85,8.73E-10,1.40E-12,Insoluble,-8.17,4.23E-06,6.76E-09,Poorly soluble,Low,No,n/d,n/d,n/d,n/d,n/d,n/d,-3.37,1,4,1,1,3,0.55,0,0,3,7.62
Annomuricin A,CCCCCCCCCCCC[C@@H]([C@H]1CC[C@@H](O1)[C@@H](CCC[C@H]([C@@H](CCCCC[C@H](CC1=C[C@@H](OC1=O)C)O)O)O)O)O,C35H64O8,612.88,43,0,0.91,26,8,5,173.84,136.68,n/d,7.44,6.03,2.67,8.12,6.07,-6.61,1.50E-04,2.45E-07,Poorly soluble,-10.14,4.42E-08,7.21E-11,Insoluble,-6.45,2.19E-04,3.58E-07,Poorly soluble,Low,No,n/d,n/d,n/d,n/d,n/d,n/d,-4.76,1,4,1,2,3,0.55,0,0,3,7.48
Annomuricin B,CCCCCCCCCCCC[C@@H]([C@H]1CC[C@@H](O1)[C@@H](CCC[C@@H]([C@@H](CCCCC[C@H](CC1=C[C@@H](OC1=O)C)O)O)O)O)O,C35H64O8,612.88,43,0,0.91,26,8,5,173.84,136.68,n/d,7.44,6.03,2.67,8.12,6.07,-6.61,1.50E-04,2.45E-07,Poorly soluble,-10.14,4.42E-08,7.21E-11,Insoluble,-6.45,2.19E-04,3.58E-07,Poorly soluble,Low,No,n/d,n/d,n/d,n/d,n/d,n/d,-4.76,1,4,1,2,3,0.55,0,0,3,7.48
Annomuricin C,CCCCCCCCCCCC[C@H]([C@H]1CC[C@@H](O1)[C@@H](CCC[C@@H]([C@H](CCCCC[C@H](CC1=C[C@@H](OC1=O)C)O)O)O)O)O,C35H64O8,612.88,43,0,0.91,26,8,5,173.84,136.68,n/d,7.44,6.03,2.67,8.12,6.07,-6.61,1.50E-04,2.45E-07,Poorly soluble,-10.14,4.42E-08,7.21E-11,Insoluble,-6.45,2.19E-04,3.58E-07,Poorly soluble,Low,No,n/d,n/d,n/d,n/d,n/d,n/d,-4.76,1,4,1,2,3,0.55,0,0,3,7.48
Annomuricin D,CCCCCCCCCCCCC(C1CCC(O1)C(CCCC(C(CCCCCC1OC(=O)C(C1)CC(=O)C)O)O)O)O,C35H64O8,612.88,43,0,0.94,26,8,4,173.35,133.52,n/d,7.1,6.32,2.67,8.46,6.14,-6.4,2.46E-04,4.01E-07,Poorly soluble,-9.72,1.16E-07,1.89E-10,Poorly soluble,-6.94,7.05E-05,1.15E-07,Poorly soluble,Low,No,n/d,n/d,n/d,n/d,n/d,n/d,-5,1,4,1,2,3,0.55,0,0,3,6.83
Annomuricin E,CCCCCCCCCCCC[C@H]([C@H]1CC[C@@H](O1)[C@@H](CCC[C@H]([C@H](CCCCC[C@H](CC1=C[C@@H](OC1=O)C)O)O)O)O)O,C35H64O8,612.88,43,0,0.91,26,8,5,173.84,136.68,n/d,7.44,6.03,2.67,8.12,6.07,-6.61,1.50E-04,2.45E-07,Poorly soluble,-10.14,4.42E-08,7.21E-11,Insoluble,-6.45,2.19E-04,3.58E-07,Poorly soluble,Low,No,n/d,n/d,n/d,n/d,n/d,n/d,-4.76,1,4,1,2,3,0.55,0,0,3,7.48
Annomuricatin A,OCC1NC(=O)C(NC(=O)C(NC(=O)CNC(=O)C2N(C(=O)C(NC1=O)C)CCC2)Cc1ccccc1)C(C)C,C27H38N6O7,558.63,40,6,0.56,4,7,6,166.08,186.04,n/d,0.44,-4.33,-1.62,-0.33,-1.46,-3.43,2.09E-01,3.74E-04,Soluble,-3.91,6.80E-02,1.22E-04,Soluble,-5.54,1.61E-03,2.88E-06,Moderately soluble,Low,No,n/d,n/d,n/d,n/d,n/d,n/d,-9.4,3,4,1,1,2,0.17,0,0,1,5.2
Annomuricatin B,CC(CC1NC(=O)C(NC(=O)C(C)NC(=O)C(CC(=O)N)NC(=O)C2N(C(=O)C(NC(=O)CNC1=O)C(O)C)CCC2)Cc1c[nH]c2c1cccc2)C,C35H49N9O9,739.82,53,9,0.54,7,9,9,216.6,274.02,n/d,-0.42,-5.09,-2.98,-1.21,-2.42,-3.83,1.10E-01,1.49E-04,Soluble,-4.87,9.98E-03,1.35E-05,Moderately soluble,-5.03,6.84E-03,9.25E-06,Moderately soluble,Low,No,n/d,n/d,n/d,n/d,n/d,n/d,-11.11,3,4,1,1,3,0.17,0,0,1,6.65
Annomutacin,CCCCCCCCCCCCC(C1CCC(O1)C(CCCCCCC(CCCCCC(CC1=CC(OC1=O)C)O)O)O)O,C37H68O7,624.93,44,0,0.92,28,7,4,182.29,116.45,n/d,9.5,7.84,3.81,9.74,7.72,-7.85,8.80E-06,1.41E-08,Poorly soluble,-11.85,8.73E-10,1.40E-12,Insoluble,-8.17,4.23E-06,6.76E-09,Poorly soluble,Low,No,n/d,n/d,n/d,n/d,n/d,n/d,-3.37,1,4,1,1,3,0.55,0,0,3,7.62
